11:46: 4 AM#,Descriptor,Current,Units,Slope,Intercept,ON Text,OFF Text,Type
1,CTLR ADDRESS,99,      ,1,0,,,LAO
2,APPLICATION,2302,      ,1,0,,,LAO
4,ROOM TEMP,74.00,DEG F ,0.25,48.00,,,LAI
15,ROOM RH,28.8,PCT   ,0.4,0.0,,,LAI
16,ROOM RH STPT,49.6,PCT   ,0.4,0.0,,,LAO
17,RH LIMIT,1.6,PCT   ,0.4,0.0,,,LAO
19,DI OVRD SW,OFF,,1,0,ON,OFF,LDI
24,DI 2,OFF,,1,0,ON,OFF,LDI
25,DI 3,OFF,,1,0,ON,OFF,LDI
26,SPEC HUM,0.0,      ,0.1,0.0,,,LAO
27,SPEC HUM SET,49.9,      ,0.1,0.0,,,LAO
28,SPH CTL SET,49.9,      ,0.1,0.0,,,LAO
35,AIR VOLUME,0, CFM  ,4,0,,,LAI
36,FLOW COEFF,1.00,      ,0.01,0.00,,,LAO
37,HMD VLV CMD,0.0,PCT   ,0.4,0.0,,,LAO
38,HMD VLV POS,0.0,PCT   ,0.4,0.0,,,LAO
39,MTR3 TIMING,90,SEC   ,1,0,,,LAO
41,DO 1,OFF,,1,0,ON,OFF,LDO
42,DO 2,OFF,,1,0,ON,OFF,LDO
43,DO 3,OFF,,1,0,ON,OFF,LDO
44,DO 4,OFF,,1,0,ON,OFF,LDO
45,DO 5,OFF,,1,0,ON,OFF,LDO
46,DO 6,OFF,,1,0,ON,OFF,LDO
47,DO 7,OFF,,1,0,ON,OFF,LDO
48,MTR1 COMD,0.0,PCT   ,0.4,0.0,,,LAO
49,MTR1 POS,0.0,PCT   ,0.4,0.0,,,LAO
50,DO 8,OFF,,1,0,ON,OFF,LDO
51,MTR1 TIMING,90,SEC   ,1,0,,,LAO
52,MTR2 COMD,0.0,PCT   ,0.4,0.0,,,LAO
53,MTR2 POS,0.0,PCT   ,0.4,0.0,,,LAO
54,AI3 VOLT.CUR,VOLT,,1,0,CURENT,VOLT,LDO
55,MTR2 TIMING,90,SEC   ,1,0,,,LAO
56,DPR1 ROT ANG,90,      ,1,0,,,LAO
57,DPR2 ROT ANG,90,      ,1,0,,,LAO
58,MTR SETUP,0,      ,1,0,,,LAO
59,DO DIR.REV,0,      ,1,0,,,LAO
74,SPH P GAIN,5.00,      ,0.25,0.00,,,LAO
75,SPH I GAIN,0.004,      ,0.001,0.000,,,LAO
76,SPH D GAIN,0,      ,2,0,,,LAO
77,SPH BIAS,0.0,PCT   ,0.4,0.0,,,LAO
78,CTL TEMP,74.00,DEG F ,0.25,48.00,,,LAO
87,CAL MODULE,NO,,1,0,YES,NO,LDO
94,CAL AIR,NO,,1,0,YES,NO,LDO
95,CAL SETUP,4,      ,1,0,,,LAO
96,CAL TIMER,12,HRS   ,1,0,,,LAO
97,DUCT AREA,0.975,SQ. FT,0.025,0.000,,,LAO
98,LOOP TIME,5,SEC   ,1,0,,,LAO
99,ERROR STATUS,0,      ,1,0,,,LAO
